x1	x2	x3	x4	x5	x6	x7	x8	x9	response
3521.258301 6247.052734 30801.99219 0.014133 26.785328 176.600113 0.00213 1781.795898 0.25 0
4098.876465 6032.535156 34369.70313 0.022838 26.529615 168.352737 0.08496 1443.217529 0.273585 0
3854.601807 6453.114746 34709.44531 0.000251 23.670755 180.8983 0.009303 1621.75 0.256329 0
4069.221924 6844.231445 32181.26367 0.000168 23.456329 179.116043 0.021419 1454.390137 0.249221 0
4104.271973 6949.925293 36444.95313 0.004731 22.488258 188.25621 0 1553.536499 0.214511 0
3964.96582 6513.021973 30570.84766 0.016147 25.47106 185.221573 0 1824.6604 0.267081 0
4292.400879 6851.462891 34422.53125 0 24.672632 184.71228 0 1674.739258 0.308176 0
3813.514893 6544.612793 35045.53125 0 24.927963 180.49971 0.010539 1633.02478 0.204545 0
3839.619385 6006.820801 32881.87109 0.025014 22.809685 169.323029 0.034824 1451.781372 0.241722 0
3663.320557 5706.516602 30869.72461 0.009552 25.031172 181.63829 0 1747.158203 0.23301 0
4967.942383 7201.978027 31456.03516 0.001869 26.866146 174.055542 0.002208 1772.392944 0.266458 0
4523.637207 7132.702637 35501.50391 0 24.071407 186.661316 0.008474 1681.664307 0.322259 0
5534.404297 8622.380859 37251.76563 0.022995 28.023609 190.655319 0.014728 1951.880615 0.255521 0
4624.701172 6701.554688 34439.08203 0.00121 24.274458 181.681992 0.017068 1646.700317 0.267742 0
4249.588867 6613.633301 35339.49219 0.07234 27.464983 182.84549 0 1667.199951 0.253918 0
4481.925781 7936.019043 39848.53906 0.005338 25.811054 182.695129 0.027226 1733.192993 0.216301 0
4459.272949 6704.931641 34887.70703 0 24.456684 183.235184 0 1419.233887 0.283333 0
4393.611328 7040.518555 37595.98047 0.000332 20.937576 174.720245 0 1301.815918 0.28479 0
4178.349121 6469.056152 34775.38281 0 21.974512 172.141464 0.004195 1342.569458 0.262821 0
4470.696777 6814.251953 37939.11328 0.033793 24.447506 181.043777 0.012582 1654.489868 0.270096 0
4101.893066 6863.132812 35820.17578 0.000462 22.199772 175.510727 0 1434.501587 0.20712 0
3913.406006 5820.228516 32423.42969 0.000012 26.449736 176.954788 0.034074 1620.777344 0.227273 0
4165.760742 6146.09082 34593.44922 0.010759 25.659687 181.818268 0.112283 1642.177368 0.220779 0
4726.308105 7198.034668 35728.63281 0.005933 24.419115 176.946136 0.040959 1609.759644 0.190939 0
